profile,ear,band,active_prescription,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,camfit_gain_db,output_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,sigma_output_after_global_headroom_dbfs,global_headroom_gain_db,within_configured_sigma_graph_range
N1,left,2,True,297.0000,229.2793,385.3570,59.0,0.000000,59.000000,-41.000000,-41.000000,-61.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,60.0,0.000000,60.000000,-40.000000,-40.000000,-60.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,61.0,0.000000,61.000000,-39.000000,-39.000000,-59.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,62.0,0.000000,62.000000,-38.000000,-38.000000,-58.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,63.0,0.000000,63.000000,-37.000000,-37.000000,-57.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,64.0,0.000000,64.000000,-36.000000,-36.000000,-56.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,65.0,0.000000,65.000000,-35.000000,-35.000000,-55.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,66.0,0.000000,66.000000,-34.000000,-34.000000,-54.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,67.0,0.000000,67.000000,-33.000000,-33.000000,-53.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,68.0,0.000000,68.000000,-32.000000,-32.000000,-52.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,69.0,0.000000,69.000000,-31.000000,-31.000000,-51.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,70.0,0.000000,70.000000,-30.000000,-30.000000,-50.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,71.0,0.000000,71.000000,-29.000000,-29.000000,-49.000000,-20.000000,True
